,Unnamed: 0.1,Unnamed: 0,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,visibility_periods_used,phot_bp_mean_mag,phot_rp_mean_mag,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,zp,fidelity_v2,parallax_,relative_error,cell_id,distance,cluster_id
68963,72853,72853,1579822532067683328,193.3771627403773,60.30257825040097,12.387498428047063,-20.150788977397166,-9.06065751601017,1.0488349,11.800293,1.5500412,-6.263213,0.009945417,0.009769062,0.012432193,0.012689439,0.0123857865,27,12.527001,10.97696,1.4090889,,57.412268101302296,31,-0.029171,1.0,0.012387498428047,0.0009998618019564,39,80.72654909371069,39_001
68984,72875,72875,1552239530539219328,205.56722646828496,48.07969910933424,10.730632827261507,-18.355303334498487,-5.830740677427246,1.4190738,14.365506,2.652234,-0.770586,0.015704604,0.018924033,0.018910544,0.023587475,0.022701832,28,15.832271,13.180037,1.2710491,,52.87935979034953,31,-0.04341,1.0,0.0107306328272615,0.002115609802837,39,93.19114875121527,39_001
68998,72889,72889,1559228365746156672,204.6428082782953,51.91688520898789,10.589368134505138,-13.842912240876858,-10.502618987420512,1.0831304,19.813625,3.0347195,,0.26568,0.25252554,0.32799065,0.33520094,0.31689802,30,21.367697,18.332977,,1.0438741,55.53449032832445,95,-0.034968,1.0,0.0105893681345051,0.0299260556413557,39,94.43434086888846,39_001
68999,72890,72890,1559292485314843008,205.97810999022136,52.06438914376727,10.788256585918775,-18.291861137549343,-5.4500554582432015,0.876659,6.023171,0.003841877,-2.7959075,0.020988097,0.027905265,0.026196133,0.032749366,0.029746177,25,6.0130553,6.0092134,1.7558763,,56.17452415767873,31,-0.031117,1.0,0.0107882565859187,0.0027572737784922,39,92.69338303514614,39_001
69004,72895,72895,1561366782719556480,207.1141916991732,54.04269756576576,10.954710885759788,-18.523233894657256,-4.095720350202581,0.9197039,10.805786,1.115099,-4.851913,0.009099868,0.0091673,0.010749219,0.011882495,0.011239897,29,11.285114,10.170015,1.48964,,58.11525805762534,31,-0.020656,1.0,0.0109547108857597,0.001026033194049,39,91.28492850504388,39_001
69090,72981,72981,1663286184854047232,199.7488870419604,60.52005013273418,10.02613676826859,-17.584833166310204,-6.579875229596122,1.0448178,15.994482,2.8984995,,0.029147953,0.032333132,0.03828021,0.03945541,0.038258106,25,17.643831,14.745332,1.2486185,,59.864296072924425,31,-0.045546,1.0,0.0100261367682685,0.0038158372346447,39,99.73931366714226,39_001
69096,72987,72987,1666878525564521856,214.8000633244486,62.98616228579668,10.228229386017375,4.464258703100694,-15.058086032509577,1.0758312,11.957146,1.5058727,-20.809998,0.009584505,0.009271993,0.011463513,0.011419219,0.0103252595,29,12.65707,11.151197,1.416579,,66.99847232244178,31,-0.019361,1.0,0.0102282293860173,0.0010094865015557,39,97.76863250320427,39_001
69106,72997,72997,1660473290513039488,213.47090297334145,60.57863586982744,10.042753996316216,-16.923263472864413,-2.4436653042372614,1.049407,15.902233,2.8952541,,0.02824035,0.027150223,0.03645344,0.035153482,0.030279305,28,17.553148,14.657894,1.2472991,,65.08320537711131,31,-0.044635,1.0,0.0100427539963162,0.0030150399990985,39,99.57428015928816,39_001
69112,73004,73004,1665235447171350528,203.4320916785864,62.51187839885181,10.054049347763248,-17.380878598245523,-8.00842352204697,0.9733398,16.012785,2.8881207,,0.028682768,0.025376268,0.041132305,0.03355745,0.030465098,29,17.65908,14.77096,1.2452705,,62.48812295057808,31,-0.045859,1.0,0.0100540493477632,0.003030132133455,39,99.46241214963575,39_001
69134,73026,73026,1618223177530706944,216.73925695154696,60.08653280125137,10.093682663501388,-16.207176329679783,-0.8870752628099116,1.8869666,20.207531,2.7002563,,0.7167184,0.7429078,0.9861991,1.0252118,0.87306726,23,21.27198,18.571724,,1.054297,66.05189073294326,95,-0.045902,0.011001587,0.0100936826635013,0.0864964046429752,39,99.0718683494969,39_001
69326,73220,73220,1558277361204067072,205.317863724616,48.68199472609562,10.542007869072824,-5.604041616766404,-17.87004478083559,1.1074334,14.278959,2.2610874,8.579259,0.011473632,0.01415557,0.015130773,0.018894216,0.018110516,28,15.460637,13.19955,1.3128488,,53.26314433454059,31,-0.037454,1.0,0.0105420078690728,0.0017179380081028,39,94.85858978854593,39_001
69337,73232,73232,1585189420121547776,181.76261912360224,65.79992162906461,11.41245031933868,-4.685411412172205,-2.407212934674739,20.419418,15.252608,2.8223858,-25.944887,0.4645215,0.45062858,0.5715817,0.6473399,0.5691436,24,16.66654,13.844154,1.2545704,,57.3380000224767,31,-0.045104,0.48535156,0.0114124503193386,0.0498704120565214,39,87.62360159460955,39_001
69357,73253,73253,1562168906517715584,203.52278187149847,55.34975916998041,10.927384355519706,-18.26047273012332,-6.79973341247672,5.0833087,15.760731,2.7894764,,0.11750156,0.17564964,0.12929551,0.1994704,0.16184561,23,17.182802,14.393326,1.2661455,,57.67410739530772,31,-0.042752,1.0,0.0109273843555197,0.0148110110099904,39,91.51320823586428,39_001
69379,73275,73275,1565832346115967616,202.95714205653823,57.74044738926737,10.394057865786934,22.60947575712417,-8.150646728370806,1.8364938,14.731979,2.5149736,-13.190834,0.028602963,0.027517412,0.03357266,0.034050092,0.03361251,29,16.095499,13.580525,1.2838517,,59.167656075105306,31,-0.039628,1.0,0.0103940578657869,0.0032338197876152,39,96.20881593238015,39_001
69385,73281,73281,1567438595166911616,193.1510462472492,49.60009884857774,10.56492445581006,-11.049466314404986,-2.843536235758476,1.1417866,13.600447,2.1108065,-18.49526,0.0084525095,0.009919564,0.0100037325,0.012200884,0.013116956,31,14.676406,12.565599,1.3303802,,49.231553454202135,31,-0.036959,1.0,0.01056492445581,0.0012415570082743,39,94.65283014400231,39_001
69457,73353,73353,1666483805185815680,217.28872915682257,61.51500075841534,10.244845533691452,-16.409035325277777,-3.69726564200032,3.323927,15.611341,2.9134207,,0.08574652,0.080922015,0.10856415,0.106073,0.09072721,26,17.259544,14.346124,1.2452872,,67.1237694826895,31,-0.044687,1.0,0.0102448455336914,0.0088558885247837,39,97.6100612460559,39_001
69458,73354,73354,1667493049485230336,213.58817749037968,62.36095065275341,10.730066375410455,-6.0346029927797495,-19.50896269757881,44.220074,14.748328,1.4904661,6.931189,0.57077503,0.5918218,0.73795545,0.76529825,0.6402783,26,14.960207,13.469741,1.4156724,,66.18741630500296,31,-0.027423,0.5449219,0.0107300663754104,0.0596714202502319,39,93.19606841311382,39_001
69491,73387,73387,1560860938651474816,206.0294915421328,52.78968237891682,11.039167150546858,-17.46386392507973,-7.723083003230791,1.9712938,14.003002,2.3981867,-0.5950798,0.019000156,0.021425104,0.022048267,0.025214616,0.025176767,28,15.279948,12.881762,1.2972668,,56.74776289465756,31,-0.038476,1.0,0.0110391671505468,0.0022806763097841,39,90.58654392695442,39_001
69493,73389,73389,1561672378233017728,205.39703779303,53.56215895126103,10.573745830135238,-18.367209659140936,-4.73164049885615,1.168802,14.321616,2.5972614,-0.330776,0.012859488,0.013735541,0.01669194,0.018218523,0.016812166,30,15.74912,13.151858,1.2759247,,57.08156763720032,31,-0.041488,1.0,0.0105737458301352,0.0015899915006548,39,94.5738639896183,39_001
69497,73393,73393,1562168842092340352,203.5302901144574,55.348408099621295,10.830013036145385,-19.066097437766068,-5.966318691679572,1.0112944,5.5928698,-0.023746014,-4.234727,0.040719826,0.04402709,0.047563877,0.05098106,0.05575233,24,5.573586,5.597332,1.7640985,,57.676031083241845,31,-0.030701,1.0,0.0108300130361453,0.0051479467119684,39,92.33599227096846,39_001
