ra,dec,parallax,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
101.64192934534303,-20.692638056256502,1.3753218981947006,0.992439,17.064417,17.892925,16.186377,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.12345988302195994
101.42620407854437,-20.6141929354656,1.3733512719776528,1.0240496,15.531839,16.031048,14.868472,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.13222745005419315
101.4703815598881,-20.59173186731937,1.3724960477706816,1.0302297,20.22477,21.104908,19.018517,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.1329753608477932
101.65133078796714,-20.660832854958468,1.3756911460055692,1.4413161,12.125483,12.277419,11.856113,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.14181004408849587
101.36013248724385,-20.719205147331056,1.3717607009399293,1.0249294,14.85844,15.267257,14.284398,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.1428882582970049
101.65008989040683,-20.801741794729875,1.3744199124259266,1.0091267,20.281557,21.023418,18.99463,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.15286074531038704
101.5886102453153,-20.856202066647704,1.3772547005975817,1.1785821,10.771201,10.802385,10.699838,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.1547256524205346
101.38989123554256,-20.59750900917416,1.374940264521633,1.090164,14.127828,14.459334,13.628597,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.16707697582146486
101.3851626879742,-20.596074342062288,1.3710283778870143,1.1064334,10.300172,10.305359,10.270755,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.17117971785641029
101.55373387397125,-20.52821448157436,1.3762954478640663,1.865564,11.324693,11.380187,11.207962,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.19419932239878376
101.36039340573963,-20.586188516648992,1.3750677617499785,1.034427,13.993088,14.307879,13.507715,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.1946841831386579
101.67014045721994,-20.589839387198968,1.3744575398671637,1.6416059,11.857526,11.9808,11.628267,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.19553010382989844
101.73530083038703,-20.714823083572718,1.3724828654403334,0.9728868,20.445297,21.008223,19.65814,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.20805571994747182
101.35237305147207,-20.570328991694346,1.376039192836226,1.0100491,16.059765,16.677095,15.267162,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.2110796081854583
101.68544131080816,-20.856031686703908,1.373644344548206,1.0420407,12.596111,12.810577,12.242804,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.2119056059995732
101.73584884017328,-20.651964007273335,1.3713670399891653,1.2907578,10.167975,10.152728,10.179493,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.21896767604247913
101.27593032982394,-20.742005975147443,1.3712952922931694,1.0902497,12.430641,12.626537,12.099633,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.2228577484971982
101.72920929338342,-20.62048920225865,1.3721366450636676,1.2023998,16.737362,17.35857,15.81758,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.22492029105802316
101.33528817804131,-20.88184115468744,1.3729367814717652,1.0052626,20.792927,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.23283059291111113
101.75095306270245,-20.59727628207547,1.372517279320489,1.0423391,20.260216,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.2536529452417078
101.63768017567381,-20.949579143604097,1.3757241317129063,0.9725465,13.433683,13.706044,13.006383,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.2587364495281563
